timestamp,rr
1622960124190,661,256387
1622960124851,674,257048
1622960125180,685,257722
1622960126164,681,258407
1622960126845,680,259088
1622960127156,678,259768
1622960128148,675,260446
1622960128823,673,261121
1622960129141,671,261794
1622960130131,662,262465
1622960130793,666,263127
1622960131115,650,263793
1622960132105,655,264443
1622960132760,663,265098
1622960133100,656,265761
1622960134085,646,266417
1622960134731,633,267063
1622960135075,630,267696
1622960136065,646,268326
1622960136711,655,268972
1622960137056,666,269627
1622960138048,664,270293
1622960138712,666,270957
1622960139038,663,271623
1622960139701,653,272286
1622960140029,646,272939
1622960141015,646,273585
1622960141661,639,274231
1622960142007,641,274870
1622960143493,648,275511
1622960144141,658,276159
1622960144488,665,276817
1622960145469,667,277482
1622960146136,685,278149
1622960146459,687,278834
1622960147456,690,279521
1622960148146,691,280211
1622960148441,678,280902
1622960149437,665,281580
1622960150102,659,282245
1622960150429,660,282904
1622960151409,667,283564
1622960152076,660,284231
1622960152407,666,284891
1622960153389,666,285557
1622960154055,670,286223
1622960154380,677,286893
1622960155371,680,287570
1622960156360,681,288250
1622960157041,680,288931
1622960157357,686,289611
1622960158341,686,290297
1622960159027,684,290983
1622960159352,675,291667
1622960160325,662,292342
1622960160987,653,293004
1622960161334,647,293657
1622960161981,649,294304
1622960162306,653,294953
1622960163306,656,295606
1622960164285,666,296262
1622960164951,676,296928
1622960165297,671,297604
1622960165968,660,298275
1622960166261,651,298935
1622960167249,641,299586
1622960167890,627,300227
1622960168238,631,300854
1622960169232,642,301485
1622960169874,640,302127
1622960170222,647,302767
1622960172202,646,303414
1622960172848,639,304060
1622960172231,639,304699
1622960172870,636,305338
1622960174184,626,305974
1622960174232,617,306600
1622960174849,615,307217
1622960175190,628,307832
1622960175818,635,308460
1622960176158,637,309095
1622960177148,474,309732
1622960178145,786,310206
1622960178931,658,310992
1622960179152,643,311650
1622960179795,641,312293
1622960180128,652,312934
1622960181113,647,313586
1622960181760,652,314233
1622960182102,657,314885
1622960183092,669,315542
1622960184082,679,316211
1622960184761,694,316890
1622960185074,705,317584
1622960186059,713,318289
1622960186772,707,319002
1622960187066,706,319709
1622960188041,700,320415
1622960188741,687,321115
1622960189033,674,321802
1622960190030,675,322476
1622960190705,672,323151
1622960191029,675,323823
1622960192004,684,324498
1622960193491,692,325182
1622960194183,699,325874
1622960194481,714,326573
1622960195468,716,327287
1622960196184,715,328003
1622960196459,718,328718
1622960197452,717,329436
1622960198169,698,330153
1622960198435,686,330851
1622960199428,682,331537
1622960200110,673,332219
1622960200419,677,332892
1622960201411,679,333569
1622960202412,693,334248
1622960203105,697,334941
1622960203393,704,335638
1622960204380,710,336342
1622960205090,705,337052
1622960205374,701,337757
1622960206367,692,338458
1622960207059,685,339150
1622960207352,684,339835
1622960208350,673,340519
1622960209023,667,341192
1622960209331,668,341859
1622960210319,668,342527
1622960210987,666,343195
1622960211312,674,343861
1622960212300,673,344535
1622960212973,667,345208
1622960213311,676,345875
1622960214293,684,346551
1622960214977,678,347235
1622960215266,676,347913
1622960216264,676,348589
1622960216940,679,349265
1622960217248,678,349944
1622960218238,667,350622
1622960219230,672,351289
1622960219902,671,351961
1622960220220,671,352632
1622960222196,671,353303
1622960222867,676,353974
1622960222234,675,354650
1622960223184,679,355325
1622960223863,680,356004
1622960224191,681,356684
1622960225164,681,357365
1622960225845,682,358046
1622960226160,679,358728
1622960227146,668,359407
1622960227814,666,360075
1622960228148,653,360741
1622960229125,641,361394
1622960229766,643,362035
1622960230114,655,362678
1622960231108,650,363333
1622960231758,646,363983
1622960232098,649,364629
1622960232747,654,365278
1622960234094,653,365932
1622960234135,649,366585
1622960234784,646,367234
1622960235071,647,367880
1622960236071,643,368527
1622960236714,638,369170
1622960237046,638,369808
1622960238036,626,370446
1622960238662,629,371072
1622960239027,630,371701
1622960239657,627,372331
1622960240014,643,372958
1622960241010,641,373601
1622960241651,640,374242
1622960242489,640,374882
1622960243481,648,375522
1622960244129,642,376170
1622960244471,637,376812
1622960245461,631,377449
1622960246092,633,378080
1622960246457,628,378713
1622960247085,625,379341
1622960247439,623,379966
1622960248431,615,380589
1622960249046,618,381204
1622960249421,626,381822
1622960250426,644,382448
1622960251070,658,383092
1622960251406,663,383750
1622960252396,674,384413
1622960253070,674,385087
1622960253385,673,385761
1622960254372,678,386434
1622960255050,656,387112
1622960255369,650,387768
1622960256355,642,388418
1622960256997,633,389060
1622960257348,633,389693
1622960257981,637,390326
1622960258333,635,390963
1622960259345,638,391598
1622960259983,638,392236
1622960260315,640,392874
1622960261303,644,393514
1622960261947,638,394158
