timestamp,heartrate,rmssd,sdnn,alpha1,filtered,samples,droppedPercent
1622964911894,,7,,1.55,0,187,0
1622964913478,,7,,1.55,0,187,0
1622964914461,,7,,1.55,0,188,0
1622964914869,,7,,1.55,0,187,0
1622964916512,,7,,1.55,0,187,0
1622964916887,,7,,1.55,0,187,0
1622964918532,,8,,1.55,0,187,0
1622964918855,,8,,1.55,0,188,0
1622964920511,,8,,1.55,0,188,0
1622964920830,,8,,1.55,0,188,0
1622964922504,,8,,1.55,0,188,0
1622964922837,,8,,1.55,0,188,0
1622964924474,,8,,1.55,0,188,0
1622964924802,,8,,1.55,0,187,0
1622964926421,,8,,1.55,0,188,0
1622964926770,,8,,1.55,0,187,0
1622964928424,,8,,1.62,0,188,0
1622964928761,,8,,1.62,0,187,0
1622964930481,,8,,1.62,1,186,0
1622964930772,,8,,1.62,1,186,1
1622964931788,,8,,1.62,1,185,1
1622964933461,,8,,1.62,2,185,1
1622964933742,,8,,1.62,2,184,1
1622964935459,,9,,1.62,2,185,1
1622964935746,,9,,1.62,2,184,1
1622964937415,,9,,1.62,2,184,1
1622964937698,,9,,1.62,2,184,1
1622964939373,,9,,1.62,2,184,1
1622964939639,,9,,1.62,2,184,1
1622964941322,,9,,1.62,2,184,1
1622964941620,,9,,1.62,2,184,1
1622964943248,,9,,1.62,2,184,1
1622964943568,,9,,1.62,2,183,1
1622964945214,,9,,1.62,2,184,1
1622964945563,,9,,1.62,2,183,1
1622964947713,,10,,1.62,2,182,1
1622964948055,,10,,1.51,2,181,1
1622964949708,,10,,1.51,2,182,1
1622964950637,,10,,1.51,2,182,1
1622964950979,,10,,1.51,2,182,1
1622964952583,,10,,1.51,2,182,1
1622964952959,,10,,1.51,2,182,1
1622964954630,,10,,1.51,2,182,1
1622964955635,,10,,1.51,2,183,1
1622964955970,,10,,1.51,2,182,1
1622964957581,,10,,1.51,2,182,1
1622964958543,,10,,1.51,2,183,1
1622964958906,,10,,1.51,2,182,1
1622964960480,,10,,1.51,2,183,1
1622964961458,,10,,1.51,2,183,1
1622964961854,,10,,1.51,2,183,1
1622964962866,,10,,1.51,2,182,1
1622964964551,,10,,1.51,3,182,1
1622964964979,,10,,1.51,4,180,2
1622964966760,,15,,1.51,5,180,2
1622964966980,,16,,1.51,5,179,3
1622964968604,,16,,1.67,5,181,3
1622964968872,,16,,1.67,5,181,3
1622964969878,,16,,1.67,5,180,3
1622964971517,,16,,1.67,5,180,3
1622964971873,,16,,1.67,5,180,3
1622964973490,,16,,1.67,5,180,3
1622964973863,,16,,1.67,5,180,3
1622964975504,,16,,1.67,5,180,3
1622964975848,,16,,1.67,5,179,3
1622964976802,,16,,1.67,5,179,3
1622964978644,,16,,1.67,7,177,3
1622964978832,,16,,1.67,8,176,4
1622964980521,,16,,1.67,8,176,5
1622964980778,,16,,1.67,8,175,5
1622964981803,,16,,1.67,8,175,5
1622964983471,,16,,1.67,8,175,5
1622964983749,,16,,1.67,8,175,5
1622964985463,,16,,1.67,8,175,5
1622964985735,,16,,1.67,8,175,5
1622964987409,,16,,1.67,8,175,5
1622964987684,,16,,1.67,8,175,5
1622964988702,,16,,1.5,8,174,5
1622964990471,,16,,1.5,8,175,5
1622964990719,,16,,1.5,8,174,5
1622964991707,,16,,1.5,8,174,5
1622964993429,,16,,1.5,8,174,5
1622964993684,,17,,1.5,8,174,5
1622964994727,,17,,1.5,9,172,5
1622964995713,,17,,1.5,9,172,5
1622964997226,,17,,1.5,9,169,5
1622964998262,,17,,1.5,10,168,5
1622965000121,,18,,1.5,10,168,6
1622965000260,,18,,1.5,10,168,6
1622965001230,,18,,1.5,10,167,6
1622965002223,,18,,1.5,10,167,6
1622965003972,,18,,1.5,10,167,6
1622965004119,,18,,1.5,10,167,6
1622965005077,,18,,1.5,10,166,6
1622965006788,,18,,1.5,11,166,6
1622965007774,,18,,1.5,11,166,7
1622965007723,,18,,1.57,12,165,7
1622965009303,,18,,1.57,14,163,7
1622965009997,,19,,1.57,14,163,9
1622965011748,,19,,1.57,14,163,9
1622965011994,,19,,1.57,14,163,9
1622965012994,,19,,1.57,14,162,9
1622965014679,,19,,1.57,14,163,9
1622965014947,,19,,1.57,14,162,9
1622965015952,,19,,1.57,14,162,9
1622965017648,,19,,1.57,14,162,9
1622965017953,,19,,1.57,15,162,9
1622965018957,,20,,1.57,15,161,9
1622965019996,,20,,1.57,16,160,9
1622965021827,,20,,1.57,16,160,10
1622965022001,,20,,1.57,16,160,10
1622965022971,,20,,1.57,16,159,10
1622965023967,,20,,1.57,16,159,10
1622965025743,,20,,1.57,16,159,10
1622965025913,,20,,1.57,16,159,10
1622965027879,,20,,1.53,16,158,10
1622965027937,,20,,1.53,16,159,10
1622965029551,,20,,1.53,16,160,10
1622965029741,,21,,1.53,16,158,10
1622965030778,,21,,1.53,16,157,10
1622965032486,,21,,1.53,16,157,10
1622965032730,,21,,1.53,16,157,10
1622965033704,,21,,1.53,16,156,10
1622965034707,,21,,1.53,16,155,10
1622965036447,,21,,1.53,16,156,10
1622965036700,,21,,1.53,16,155,10
1622965037704,,21,,1.53,16,155,10
1622965038726,,21,,1.53,16,154,10
1622965039709,,21,,1.53,16,154,10
1622965041538,,21,,1.53,16,154,10
1622965041690,,21,,1.53,16,154,10
1622965042671,,21,,1.53,16,153,10
1622965043647,,21,,1.53,16,153,10
1622965045440,,21,,1.53,16,153,10
1622965046127,,22,,1.53,16,151,10
1622965047116,,22,,1.53,16,151,11
1622965048114,,22,,1.61,16,150,11
1622965049124,,22,,1.61,16,150,11
1622965050926,,22,,1.61,15,151,11
1622965051060,,22,,1.61,15,151,10
1622965052066,,22,,1.61,15,151,10
1622965053043,,21,,1.61,14,151,10
1622965054818,,22,,1.61,14,152,9
1622965055026,,21,,1.61,14,151,9
1622965056050,,21,,1.61,14,151,9
1622965057034,,21,,1.61,14,150,9
1622965058042,,22,,1.61,14,150,9
1622965059833,,21,,1.61,14,150,9
1622965059979,,21,,1.61,14,150,9
1622965061647,,22,,1.61,15,149,9
1622965061862,,22,,1.61,15,149,10
1622965062865,,22,,1.61,15,148,10
1622965063905,,22,,1.61,16,147,10
1622965064914,,23,,1.61,16,146,11
1622965066813,,23,,1.61,17,146,11
1622965066942,,23,,1.61,17,147,12
1622965067914,,23,,1.42,17,146,12
1622965068877,,23,,1.42,17,146,12
1622965070640,,23,,1.42,17,146,12
1622965070826,,24,,1.42,17,145,12
1622965071825,,24,,1.42,17,145,12
1622965073567,,24,,1.42,17,145,12
1622965073792,,23,,1.42,17,145,12
1622965074780,,23,,1.42,17,144,12
1622965075768,,24,,1.42,17,143,12
1622965077576,,24,,1.42,17,144,12
1622965077824,,24,,1.42,17,143,12
1622965078807,,24,,1.42,17,142,12
1622965079831,,24,,1.42,17,142,12
1622965080794,,24,,1.42,17,141,12
1622965082588,,24,,1.42,17,141,12
1622965082737,,24,,1.42,17,141,12
1622965083733,,24,,1.42,17,141,12
1622965084721,,20,,1.42,16,141,12
1622965086496,,20,,1.42,15,143,11
1622965086680,,19,,1.42,14,143,10
1622965087683,,19,,1.42,14,143,10
1622965088677,,19,,1.54,14,142,10
1622965090494,,19,,1.54,14,143,10
1622965090686,,19,,1.54,14,143,10
1622965091659,,20,,1.54,14,142,10
1622965092662,,20,,1.54,14,142,10
1622965093665,,19,,1.54,14,141,10
1622965095462,,19,,1.54,14,142,10
1622965095917,,19,,1.54,14,141,10
1622965096796,,19,,1.54,14,141,10
1622965097779,,19,,1.54,14,141,10
1622965099551,,19,,1.54,12,143,10
1622965099783,,19,,1.54,11,144,8
1622965100809,,19,,1.54,12,142,8
1622965102779,,20,,1.54,12,141,8
1622965102799,,20,,1.54,12,142,9
1622965103766,,20,,1.54,12,141,8
1622965105553,,20,,1.54,12,142,9
1622965105713,,20,,1.54,12,141,8
1622965106703,,20,,1.54,12,141,9
1622965107696,,20,,1.54,12,140,9
1622965108677,,20,,1.46,12,140,9
1622965110470,,20,,1.46,12,141,9
1622965110686,,20,,1.46,12,140,9
1622965111663,,20,,1.46,12,140,9
1622965112633,,20,,1.46,12,140,9
1622965113617,,20,,1.46,12,139,9
1622965115437,,19,,1.46,12,140,9
1622965115600,,19,,1.46,11,141,9
1622965116568,,19,,1.46,11,141,8
1622965117569,,19,,1.46,11,141,8
1622965119384,,19,,1.46,10,143,8
1622965119603,,19,,1.46,10,142,7
1622965120594,,19,,1.46,10,142,7
1622965121617,,19,,1.46,10,142,7
1622965122602,,19,,1.46,10,142,7
1622965123594,,19,,1.46,10,141,7
1622965125350,,19,,1.46,10,142,7
1622965125497,,19,,1.46,10,142,7
1622965126458,,19,,1.46,9,142,7
1622965127445,,19,,1.46,9,141,6
1622965129229,,19,,1.41,8,143,6
1622965129450,,19,,1.41,6,144,6
1622965130478,,19,,1.41,6,144,4
1622965131484,,19,,1.41,6,143,4
1622965132465,,19,,1.41,6,143,4
1622965134275,,19,,1.41,6,144,4
1622965134408,,19,,1.41,6,143,4
1622965135392,,19,,1.41,6,143,4
1622965136374,,19,,1.41,6,143,4
1622965138138,,18,,1.41,6,143,4
1622965138354,,18,,1.41,5,144,4
1622965139361,,18,,1.41,5,144,3
1622965140351,,17,,1.41,4,145,3
1622965141369,,17,,1.41,4,144,3
1622965143174,,17,,1.41,4,145,3
1622965143325,,17,,1.41,4,145,3
1622965144891,,17,,1.41,4,145,3
1622965145775,,17,,1.41,4,144,3
1622965147557,,17,,1.41,4,145,3
1622965147742,,17,,1.41,4,146,3
1622965148747,,17,,1.32,4,145,3
1622965149735,,17,,1.32,4,144,3
1622965151544,,17,,1.32,4,145,3
1622965151773,,17,,1.32,4,145,3
1622965152769,,17,,1.32,4,144,3
1622965153751,,17,,1.32,4,144,3
1622965154753,,17,,1.32,4,144,3
1622965156532,,17,,1.32,4,145,3
1622965156644,,18,,1.32,5,143,3
1622965157626,,18,,1.32,5,143,3
1622965159392,,18,,1.32,5,144,3
1622965159558,,18,,1.32,5,144,3
1622965160593,,18,,1.32,5,144,3
1622965161624,,18,,1.32,6,142,3
1622965162642,,19,,1.32,6,142,4
1622965163656,,19,,1.32,6,142,4
1622965165460,,19,,1.32,6,143,4
1622965165595,,19,,1.32,6,142,4
1622965166590,,19,,1.32,6,142,4
1622965167559,,20,,1.32,6,142,4
1622965169352,,19,,1.35,6,143,4
1622965169551,,19,,1.35,6,143,4
1622965170544,,19,,1.35,6,142,4
1622965171531,,19,,1.35,6,142,4
1622965172538,,19,,1.35,6,142,4
1622965174342,,19,,1.35,6,143,4
1622965174496,,19,,1.35,6,142,4
1622965175463,,19,,1.35,6,142,4
1622965177200,,19,,1.35,6,143,4
1622965177388,,19,,1.35,6,143,4
1622965178395,,19,,1.35,6,143,4
1622965179412,,19,,1.35,6,142,4
1622965181253,,19,,1.35,6,143,4
1622965181403,,19,,1.35,5,143,4
1622965182358,,19,,1.35,5,143,3
1622965184097,,18,,1.35,5,144,3
1622965184317,,18,,1.35,4,145,3
1622965185314,,18,,1.35,4,145,3
1622965186326,,18,,1.35,3,145,3
1622965188128,,18,,1.35,3,146,2
1622965188335,,18,,1.45,3,146,2
1622965189330,,18,,1.45,3,146,2
1622965190333,,18,,1.45,3,145,2
1622965191351,,18,,1.45,3,145,2
1622965193176,,18,,1.45,3,146,2
1622965193346,,18,,1.45,3,145,2
1622965194867,,18,,1.45,3,145,2
1622965195882,,18,,1.45,3,145,2
1622965196871,,18,,1.45,3,145,2
1622965197837,,18,,1.45,3,144,2
1622965198818,,18,,1.45,3,144,2
1622965199783,,18,,1.45,3,144,2
1622965201598,,18,,1.45,3,145,2
1622965201755,,18,,1.45,3,145,2
1622965203757,,18,,1.45,3,143,2
1622965203769,,18,,1.45,3,144,2
1622965204743,,18,,1.45,3,144,2
1622965205744,,18,,1.45,3,144,2
1622965206729,,18,,1.45,3,143,2
1622965208599,,18,,1.45,3,144,2
1622965208692,,18,,1.37,3,144,2
1622965209668,,18,,1.37,3,144,2
1622965210649,,18,,1.37,3,143,2
1622965211634,,18,,1.37,3,143,2
1622965212682,,18,,1.37,3,143,2
1622965214539,,19,,1.37,3,144,2
1622965214652,,19,,1.37,3,144,2
1622965215656,,19,,1.37,3,143,2
